filesection	Level	tab	section	subsection	                            Notes	Case	Formal/Informal	Español	English	Esperanto	Deutsch	Zuritüütsch	Lingvaro (https://github.com/lquesada/Lingvaro) - Copyright (c) 2019, Luis Quesada Torres - https://github.com/lquesada | www.luisquesada.com
1_basics	title	Basics	Greetings		Basics: Greetings								
1_basics	A1	Basics	Greetings				Informal/Formal	hola	hello / hi	saluton	hallo	grüezi	
1_basics	A1	Basics	Greetings				Informal/Formal	hola a todos	hello everybody	saluton al ĉiuj	hallo zusammen	grüezi mitenand	
1_basics	A1	Basics	Greetings				Informal	hola	hi	saluton	hoi	hoi / sali	
1_basics	A1	Basics	Greetings				Formal	adios	good bye	adiaŭ	auf wiedersehen	ade / uf widerluege	
1_basics	A1	Basics	Greetings				Informal	adios	bye / bye bye	adiaŭ	tschüss	tschau / tschüss	
1_basics	A1	Basics	Greetings				Informal	hasta ahora	see you / see you soon	ĝis / ĝis baldau	bis gleich	bis dann	
1_basics	A1	Basics	Greetings				Informal	hasta pronto	see you / see you soon	ĝis / ĝis baldau	bis bald	bis bald	
1_basics	A1	Basics	Greetings				Informal	hasta la vista	see you / see you soon	ĝis revido	auf wiedersehen	uf widerluege	
1_basics	A1	Basics	Greetings				Formal	buenos días	good morning	bonan matenon	guten Morgen	guete Morge	
1_basics	A1	Basics	Greetings				Formal	buenas tardes	good afternoon	bonan posttagmezon	guten Nachmittag	guete Namittag	
1_basics	A1	Basics	Greetings				Formal	buenas noches (tarde-noche)	good evening	bonan vesperon	guten Abend	guete-n-Aabig	
1_basics	A1	Basics	Greetings				Formal	buenas noches	good night	bonan nokton	gute Nacht	guet Nacht	
1_basics	A1	Basics	Greetings				Formal	buen día	good day	bonan tagon	guten Tag	guete Taag	
1_basics	title	Basics	Basic conversation		Basics: Basic conversation								
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo estás?	how are you?	kiel vi estas?	wie bist du?	wie bisch du?	
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo te va?	how are you doing?	kiel vi fartas?	wie geht es dir?	wie gaat s dir? / wie gaht s dir?	
1_basics	A1	Basics	Basic conversation				Informal*	estoy bien	I am fine	mi fartas bone	es geht mir gut / mir geht es gut	es gaat mir guet / mir gaat s guet	
1_basics	A1	Basics	Basic conversation				Informal	me va bien	I am doing fine	mi fartas bone	es geht mir gut / mir geht es gut	es gaat mir guet / mir gaat s guet	
1_basics	A1	Basics	Basic conversation				Informal	¿quién eres?	who are you?	kiu estas vi?	wer bist du?	wer bisch du?	
1_basics	A1	Basics	Basic conversation				Informal	soy ...	I am ...	mi estas ...	ich bin ...	ich bi ...	
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo te llamas?	what's your name?	kiel vi nomiĝas?	wie heißt du?	wie häissisch du?	
1_basics	A1	Basics	Basic conversation					me llamo ...	my name is ...	mi nomiĝas ...	ich heiße ...	ich häisse ...	
1_basics	A1	Basics	Basic conversation				Informal*	¿cuál es tu nombre?	what's your name?	kiu estas via nomo?	was ist dein Name?	wie isch din Name?	
1_basics	A1	Basics	Basic conversation					mi nombre es ...	my name is ...	mia nomo estas ...	mein Name ist ...	min Name-n-isch ...	
1_basics	title	Basics	Gratitude, Congratulations, Celebrations		Basics: Gratitude, Congratulations, Celebrations								
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					gracias	thanks	dankon	danke	danke / merci	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					gracias por todo	thanks for everything	dankon pro ĉio	danke für alles	danke für alles / merci für alles	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					te lo agradezco	thank you	mi dankas vin	ich danke dir / ich bedanke mich bei dir	ich danke dir / ich bedanke mich bi dir	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					se lo agradezco	thank you	mi dankas vin	ich danke Ihnen / ich bedanke mich bei Ihnen	ich danke Ihne / ich bedanke mich bi Ihne	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					muchas gracias	many thanks / thanks a lot	dankegon	danke vielmals / danke schön	danke villmal / danke schön	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations		Reply to "thanks"		Informal	()	no problem	()	ist schon gut	isch scho guet	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations		Reply to "thanks"		Formal	de nada	you're welcome	nedankinde / ne dankinde	bitte / bitte schön / gern geschehen	bitte / bitte schön / gern gscheh	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡felicidades! / ¡enhorabuena!	congratulations!	gratulojn!	Herzlichen Glückwunsch! / Glückwunsche! / Glückwünsche!	Herzliche Glückwunsch! / Glückwunsch! / Glückwünsche!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡feliz cumpleaños!	happy birthday!	feliĉan naskiĝtagon!	Alles Gute zum Geburtstag!	Alles gueti zum Geburstag! / Alles gueti zum Geburi!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡salud!	cheers!	je via sano! / ni tostu je via sano!	prost!	prost!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡suerte! / ¡mucha suerte! / ¡buena suerte!	good luck!	bonŝancon	viel Glück!	viel Glück!	
1_basics	title	Basics	Apologies		Basics: Apologies								
1_basics	A1	Basics	Apologies					perdón	sorry	pardonu	entschuldigung / verzeihung	entschuldingung / äxgüsi	
1_basics	A1	Basics	Apologies					lo siento	I am sorry	mi pardonpetas	es tut mir leid	es tuet mir laid	
1_basics	A1	Basics	Apologies				Formal	disculpe	excuse me / pardon me	senkulpigu min	entschuldigen Sie / verzeihen Sie	entschuldige Si	
1_basics	A1	Basics	Apologies				Formal	mis disculpas	my apologies	miaj pardonpetoj	meine Entschuldigung	entschuldige Si	
1_basics	A1	Basics	Apologies		Reply to "I broke this"			no pasa nada	it's ok / it's fine / no problem	neniu problemo	kein Problem	käis Problem	
1_basics	A1	Basics	Apologies		Reply to "thanks"		Informal	está bien	it's ok / it's fine / no problem	estas bone	ist schon in Ordnung / ist alles in Ordnung	isch scho i-n-Ordnig / isch alles i-n-Ordnig / isch scho guet / scho guet	
1_basics	title	Basics	Afirmation and negation		Basics: Afirmation and negation								
1_basics	A1	Basics	Afirmation and negation		Reply			sí	yes	jes	ja	ja	
1_basics	A1	Basics	Afirmation and negation		Reply to negative question			sí	yes, <+ clarification e.g. "I do">	jes	doch	doch / moll	
1_basics	A1	Basics	Afirmation and negation		Reply			no	no	ne	nein	näi	
1_basics	A1	Basics	Afirmation and negation		Phrase negation			no	not	ne	nicht	nöd / nüd	
1_basics	A1	Basics	Afirmation and negation		Accepting proposal			vale	ok	bone	recht / es geht	rächt / s'gaat	
1_basics	title	Basics	Basic articles		Basics: Basic articles								
1_basics	A1	Basics	Basic articles		Male	Nominative		el	the	la	der	de	
1_basics	A1	Basics	Basic articles		Female	Nominative		la	the	la	die	d	
1_basics	A1	Basics	Basic articles		Neutral	Nominative		lo	the	la	das	s	
1_basics	A1	Basics	Basic articles		Male/Neutral Plural	Nominative		los	the	la	die	d	
1_basics	A1	Basics	Basic articles		Female Plural	Nominative		las	the	la	die	d	
1_basics	A1	Basics	Basic articles		Male	Nominative		un	a / an	()	ein	en	
1_basics	A1	Basics	Basic articles		Female	Nominative		una	a / an	()	eine	e (*e-n- vor Vokal)	
1_basics	A1	Basics	Basic articles		Neutral Indeterminate	Nominative		()	a	()	ein	es	
1_basics	A1	Basics	Basic articles		Male/Neutral Plural	Nominative		unos	some	()	einige	äinigi	
1_basics	A1	Basics	Basic articles		Female Plural	Nominative		unas	some	()	einige	äinigi	
1_basics	A1	Basics	Basic articles		Neutral Indeterminate Plural	Nominative		()	some	()	einige	äinigi	
1_basics	title	Basics	Basic pronouns		Basics: Basic pronouns								
1_basics	A1	Basics	Basic pronouns			Nominative		yo	I	mi	ich	ich	
1_basics	A1	Basics	Basic pronouns			Nominative	Informal	tú	you	vi	du	du	
1_basics	A1	Basics	Basic pronouns			Nominative	Formal	usted	you	vi / (ci)	Sie	Si	
1_basics	A1	Basics	Basic pronouns			Nominative		eso / ello	it	ĝi	es	s / es	
1_basics	title	Basics	Basic conjunctions		Basics: Basic conjunctions								
1_basics	A1	Basics	Basic conjunctions					y	and	kaj	und	und	
1_basics	A1	Basics	Basic conjunctions					o	or	aŭ	oder	oder	
1_basics	A1	Basics	Basic conjunctions					que	that	ke	dass	dass	
1_basics	title	Basics	Basic question particles		Basics: Basic question particles								
1_basics	A1	Basics	Basic question particles					quién	who	kiu	wer	wer	
1_basics	A1	Basics	Basic question particles					cuál	which	kiu	welch (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	wele (+deklination, F/Pl:e->i, N:+s, DAT M/N:+m, DAT F: +ere, DAT Pl:e->ne)	
1_basics	A1	Basics	Basic question particles					qué	what	kio	was	was	
1_basics	A1	Basics	Basic question particles					qué clase de	what kind of	kia	was für	was für	
1_basics	A1	Basics	Basic question particles		Location without direction			dónde	where	kie	wo	wo	
1_basics	A1	Basics	Basic question particles		Location with direction			a dónde	where	kien	wohin	wohii	
1_basics	A1	Basics	Basic question particles					cómo / al igual que	how / just like	kiel	wie / genauso wie	wie / genauso wie	
1_basics	A1	Basics	Basic question particles					por qué	why	kial	warum / wieso	warum / wieso	
1_basics	A1	Basics	Basic question particles					cuándo	when	kiam	wann	wänn	
1_basics	A1	Basics	Basic question particles					cuánto	how much	kiom	wie viel	wievill	
1_basics	A1	Basics	Basic question particles					cuántos	how many	kiom da	wie viele	wievilli	
1_basics	A1	Basics	Basic question particles					de quién	whose	kies	wessen	()	
1_basics	A1	Basics	Basic question particles					(cambio de orden de palabras)	do / does (+word order change)	ĉu	(Änderung der Wortordnung)	(Änderig vo de Wortordnig)	
1_basics	A1	Basics	Basic question particles					es ..., ¿verdad? / es ..., ¿cierto?	it's ..., isn't it? / it's ..., right?	estas ..., ĉu ne?	es ist ..., oder?	s'isch ..., gäll? / s'isch ..., oder?	
1_basics	A1	Basics	Basic question particles					no es ..., ¿verdad? / no es ..., ¿cierto?	it's not ..., is it?, it's not ..., right?	ne estas ..., ĉu?	es ist nicht ..., oder?	s'isch nöd ..., gäll? / s'isch nöd ..., oder?	
1_basics	title	Basics	Basic verb conjugation		Basics: Basic verb conjugation								
1_basics	A1	Basics	Basic verb conjugation		Infinitive; Constant trait			ser	to be	esti	sein	sii	
1_basics	A1	Basics	Basic verb conjugation		Present			yo soy grande	I am big	mi estas granda / mi grandas	ich bin groß	ich bi grooss	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tu eres grande	you are big	vi estas granda / vi grandas	du bist groß	du bisch grooss	
1_basics	A1	Basics	Basic verb conjugation		Infinitive; Transient state			estar	to be	esti	sein	sii	
